dim,param,value,is_baseline,n_trades,cagr_pct,mdd_pct,sharpe,win_rate,pf,kfactor,r2
ATR_Multiplier,atr_mult,0.5,False,2315,33.2,-8.2,2.92,43.1,1.57,3.8396,0.9366
ATR_Multiplier,atr_mult,0.75,False,2315,36.4,-9.2,3.1,44.4,1.58,3.6343,0.9297
ATR_Multiplier,atr_mult,1.0,False,2315,36.1,-11.2,2.82,44.1,1.49,4.0555,0.9428
ATR_Multiplier,atr_mult,1.25,False,2315,36.3,-14.4,2.55,43.9,1.42,4.8693,0.9596
ATR_Multiplier,atr_mult,1.5,True,2315,38.9,-15.8,2.56,44.4,1.41,4.5181,0.9534
ATR_Multiplier,atr_mult,1.75,False,2315,42.2,-17.6,2.57,44.4,1.42,3.9827,0.9408
ATR_Multiplier,atr_mult,2.0,False,2315,46.7,-20.5,2.81,44.4,1.46,4.2059,0.9466
ATR_Multiplier,atr_mult,2.5,False,2315,50.2,-23.6,2.68,44.9,1.44,3.8043,0.9355
ATR_Multiplier,atr_mult,3.0,False,2315,56.4,-28.6,2.89,45.6,1.48,4.5824,0.9546
REL_VOL_Thresh,rel_vol,1.2,False,2509,39.6,-14.8,2.52,44.2,1.39,5.0574,0.9624
REL_VOL_Thresh,rel_vol,1.4,False,2461,39.8,-15.6,2.59,44.3,1.41,5.1676,0.964
REL_VOL_Thresh,rel_vol,1.6,False,2396,39.3,-14.8,2.56,44.4,1.41,4.9771,0.9613
REL_VOL_Thresh,rel_vol,1.8,True,2315,38.9,-15.8,2.56,44.4,1.41,4.5181,0.9534
REL_VOL_Thresh,rel_vol,2.0,False,2236,38.8,-16.2,2.63,44.5,1.43,4.2858,0.9484
REL_VOL_Thresh,rel_vol,2.2,False,2161,38.9,-16.2,2.72,44.8,1.45,4.6577,0.956
REL_VOL_Thresh,rel_vol,2.5,False,2039,37.8,-13.6,2.75,44.9,1.45,5.4448,0.9674
R_FACTOR,r_factor,0.1,False,685,39.8,-24.0,2.72,44.8,1.63,3.9869,0.9409
R_FACTOR,r_factor,0.15,False,1226,45.2,-18.2,2.81,46.3,1.59,7.0275,0.9802
R_FACTOR,r_factor,0.2,False,1607,44.0,-21.2,2.83,46.4,1.54,5.3207,0.9659
R_FACTOR,r_factor,0.25,False,1989,42.9,-16.1,2.75,45.1,1.5,4.1987,0.9464
R_FACTOR,r_factor,0.3,True,2315,38.9,-15.8,2.56,44.4,1.41,4.5181,0.9534
R_FACTOR,r_factor,0.4,False,2805,29.3,-20.0,1.91,42.5,1.26,4.1911,0.9462
R_FACTOR,r_factor,0.5,False,3110,26.6,-17.6,1.89,42.0,1.25,4.2008,0.9464
MinTurnover_Cr,min_turn,250000000.0,True,2315,38.9,-15.8,2.56,44.4,1.41,4.5181,0.9534
MinTurnover_Cr,min_turn,400000000.0,False,2285,38.4,-15.5,2.51,44.2,1.41,4.2264,0.9471
MinTurnover_Cr,min_turn,600000000.0,False,2244,37.7,-16.2,2.49,44.1,1.41,4.4137,0.9512
MinTurnover_Cr,min_turn,800000000.0,False,2181,36.8,-14.3,2.43,43.9,1.4,4.1413,0.945
MinTurnover_Cr,min_turn,1000000000.0,False,2121,35.5,-14.3,2.39,43.9,1.39,4.0987,0.9439
MinTurnover_Cr,min_turn,1500000000.0,False,1957,31.5,-17.4,2.13,43.5,1.34,3.5847,0.9279
TOP_K,top_k,4.0,False,2092,37.0,-14.8,2.51,44.5,1.42,4.6806,0.9564
TOP_K,top_k,5.0,False,2217,38.0,-15.6,2.5,44.3,1.41,4.8009,0.9585
TOP_K,top_k,6.0,False,2272,38.4,-15.3,2.53,44.3,1.41,4.5667,0.9543
TOP_K,top_k,7.0,False,2295,38.6,-15.6,2.54,44.4,1.41,4.5076,0.9532
TOP_K,top_k,8.0,True,2315,38.9,-15.8,2.56,44.4,1.41,4.5181,0.9534
TOP_K,top_k,10.0,False,2321,38.8,-15.8,2.55,44.3,1.41,4.4982,0.953
TOP_K,top_k,12.0,False,2324,38.7,-16.4,2.54,44.3,1.41,4.5084,0.9532
